timestamp,app,method,url,path,query,post_data,label
2026-04-20T15:00:00.857860+00:00,dvwa,GET,http://localhost:8081/download?template=..%252f..%252f..%252f..%252fetc%252fpasswd,/download,template=..%252f..%252f..%252f..%252fetc%252fpasswd,,malicious
2026-03-10T04:57:03.626261,webgoat,GET,http://localhost:8082/WebGoat/js/goatApp/view/MenuButtonView.js,/js/goatApp/view/MenuButtonView.js,,,benign
2026-03-10T04:51:43.788957,webgoat,GET,http://localhost:8082/WebGoat/plugins/bootstrap/css/bootstrap.min.css,/plugins/bootstrap/css/bootstrap.min.css,,,benign
2026-04-20T15:00:04.243860+00:00,dvwa,POST,http://localhost:8081/comment,/comment,,password=%3Ciframe+src%3Djavascript%3Aalert%281%29%3E,malicious
2026-04-20T15:00:02.753860+00:00,webgoat,POST,http://localhost:8082/lesson_js/jwt-weak-keys.js,/lesson_js/jwt-weak-keys.js,,comment=%27+OR+SLEEP%285%29--,malicious
2026-03-10T04:24:13.464241,dvwa,GET,http://localhost:8081/dvwa/images/logo.png,/dvwa/images/logo.png,,,benign
2026-04-20T15:00:04.770860+00:00,webgoat,GET,http://localhost:8082/js/goatApp/view/TitleView.js?file=admin%27+--,/js/goatApp/view/TitleView.js,file=admin%27+--,,malicious
2026-04-20T15:00:01.294860+00:00,dvwa,POST,http://localhost:8081/feedback,/feedback,,email=%3Csvg%2Fonload%3Dalert%281%29%3E,malicious
2026-03-10T05:07:10.976301,webgoat,GET,http://localhost:8082/WebGoat/service/lessonoverview.mvc/HttpBasics,/service/lessonoverview.mvc/HttpBasics,,,benign
2026-04-20T15:00:00.353860+00:00,webgoat,POST,http://localhost:8082/comment,/comment,,username=%3Cbody+onload%3Dalert%28document.domain%29%3E,malicious
2026-03-10T04:48:45.772422,webgoat,GET,http://localhost:8082/WebGoat/js/libs/require.min.js,/js/libs/require.min.js,,,benign
2026-04-20T15:00:01.463860+00:00,dvwa,GET,http://localhost:8081/vulnerabilities/exec/?name=admin%27+--,/vulnerabilities/exec/,name=admin%27+--,,malicious
2026-03-10T05:04:08.177622,dvwa,GET,http://localhost:8081/security.php,/security.php,,,benign
2026-04-20T15:00:00.258860+00:00,juiceshop,GET,http://localhost:3000/http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.js?name=%3Csvg%2Fonload%3Dalert%281%29%3E,/http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.js,name=%3Csvg%2Fonload%3Dalert%281%29%3E,,malicious
2026-04-20T15:00:02.849860+00:00,dvwa,GET,http://localhost:8081/dvwa/js/add_event_listeners.js?id=%3Cbody+onload%3Dalert%28document.domain%29%3E,/dvwa/js/add_event_listeners.js,id=%3Cbody+onload%3Dalert%28document.domain%29%3E,,malicious
